cluster_id,size,num_connected_components
3,688,108
78,687,102
100,687,101
55,688,96
4,687,95
111,688,94
110,687,94
105,687,91
117,687,90
0,687,89
13,687,88
83,688,87
49,687,87
120,687,87
36,687,86
14,687,85
26,687,85
56,687,85
30,687,84
57,687,84
98,687,84
113,687,84
47,688,83
87,688,83
115,688,83
5,687,83
96,687,83
103,688,82
45,687,82
75,688,81
8,687,81
17,687,81
58,687,81
68,687,81
126,687,81
23,688,80
39,688,80
127,688,80
24,687,80
37,687,80
60,687,80
73,687,80
99,688,79
28,687,79
85,687,79
125,688,78
33,687,78
72,687,78
95,688,77
70,687,77
90,687,77
25,687,76
42,687,76
51,688,75
123,688,75
64,687,75
19,688,74
29,688,74
32,687,74
112,687,74
11,688,73
91,688,73
65,687,73
104,687,73
109,687,73
114,687,73
31,688,72
16,687,72
18,687,72
97,687,72
38,687,71
88,687,71
93,688,70
80,687,70
10,687,69
81,687,69
94,687,69
106,687,69
71,688,68
44,687,68
121,687,68
15,688,67
67,688,67
20,687,67
77,687,67
89,687,67
63,688,66
53,687,66
62,687,66
92,687,66
12,687,65
122,687,65
40,687,64
82,687,64
86,687,64
43,688,63
61,688,63
66,687,63
34,687,62
102,687,62
46,687,61
35,688,60
9,687,60
22,687,60
74,687,60
52,687,58
69,687,57
108,687,57
27,688,55
41,687,55
119,688,53
48,687,53
2,687,51
54,687,49
76,687,49
118,687,49
6,687,47
84,687,47
59,688,46
107,688,46
50,687,46
116,687,44
124,687,44
7,688,39
1,687,38
21,687,37
79,688,36
101,687,31
